title,url,publish_date,has_keyword,matched_keywords,fulltext,page_number,greenhouse gas,ghg,net-zero,carbon neutral,carbon neutrality,carbon emissions,climate change,carbon trading,carbon pricing,low-carbon,clean energy,greenhouse,carbon,environment,emission,environmental,emissions,sustainability
State Council streamlines administrative laws and regulations,https://english.www.gov.cn/policies/latestreleases/201603/01/content_WS5d1c1d68c6d03ce678798784.html,N/A,True,environment,"
State Council streamlines administrative laws and regulations
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council streamlines administrative laws and regulations






Updated:
Mar 1,2016 3:29 PM
	    english.gov.cn












On March 1, the State Council issued a circular proclaiming the decision to streamline administrative laws and regulations concerning administrative approval, price reform, and cost reduction for enterprises.
The move is aimed at promoting streamlining administration and delegating power to lower level governments, strengthening regulations, and optimizing administrative services, according to the State Council.
Articles of 66 administrative laws and regulations will be amended regarding environment protection, public health, taxation, medical institutions, tobacco, securities trading, telecommunication, printing industry, foreign-invested insurance companies, drug management, cultural relic preservation, grain reserve, transportation, and commercial performance.
The decision was passed at the 119th State Council executive meeting on Jan 13.





RELATED STORIES



State Council cancels approval items


Measures to improve regulation efficiency









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Master plan for Linyi city approved by State Council,https://english.www.gov.cn/policies/latestreleases/201603/15/content_WS5d15d219c6d03ce67878fe47.html,N/A,True,"carbon, environment","
Master plan for Linyi city approved by State Council
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			Master plan for Linyi city approved by State Council






Updated:
Mar 15,2016 3:22 PM
	    english.gov.cn












On March 15, the State Council issued a circular approving the master plan for Linyi city (2011-2020) submitted by the Shandong provincial government.
Linyi is a central city in east Shandong province with modern industries, trade, and logistics.
Based on the five development concepts -- innovation, coordination, green development, opening up and sharing -- the master plan should stick to a sustainable development strategy, building Linyi into a modern city featuring prosperous economy, harmonious living environment, and vitality, the State Council said.
With a coordinated urban and rural planning management, the master plan covers 2,106.89 square kilometers. Counties and towns are the keys to coordinated urban and rural development. Efforts should be made in promoting agricultural and rural modernization and facilitating standardized urban and rural basic public services.
City size should be controlled within a reasonable scale, and the circular stated that by 2020, permanent residents in the central urban area should be controlled within 2.6 million, while urban construction land use should be restricted to 287 square kilometers.
In addition, development zones and new city districts that are not included in the master plan will not be allowed. Efforts should be made to optimize city layout, utilizing underground spaces, improving land-use efficiency, and protecting basic farmlands.
Basic urban infrastructure system should be improved in accordance with green, cyclic, and low carbon development philosophies. According to the plan, efforts should be made to improve a comprehensive transport system, parking lots, underground pipelines, and urban disaster prevention systems.
To build a resource-conserving and environment-friendly city, efforts should be made to reduce outdated capacity and pollutants, support green building, improve water use efficiency, promote sponge city construction, and strengthen preservation of scenic areas, natural reserve areas, and ecological function areas, such as wetlands and water sources.
Based on a people-oriented approach to create a hospitable living environment, efforts should be made to improve public service infrastructure concerning education, medical care, and municipal administration, affordable housing construction, and shantytown and dilapidated building renovation.
History and culture are also issues that the State Council stressed in the circular as cultural relics, including the Great Wall built by the State of Qi as early as the Spring Autumn period (770-476 BC), should be preserved. City layout with local features should also be preserved, according to the circular.








RELATED STORIES



New district to be set up in Changchun


State Council OKs city plan for Daqing


Xiamen city plan approved









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",121,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
State Council calls for Pan-Pearl-River Delta cooperation,https://english.www.gov.cn/policies/latestreleases/201603/15/content_WS5d15d21ac6d03ce67878fe4b.html,N/A,True,environment,"
State Council calls for Pan-Pearl-River Delta cooperation
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council calls for Pan-Pearl-River Delta cooperation 






Updated:
Mar 15,2016 4:37 PM
	    english.gov.cn












The State Council on March 15 released a guideline on promoting cooperation within the Pan-Pearl-River Delta region, which includes nine provincial regions -- Fujian, Jiangxi, Hunan, Guangdong, Guangxi Zhuang autonomous region, Hainan, Sichuan, Guizhou, Yunnan -- as well as the Hong Kong and Macao Special Administrative Regions. 
Covering one-fifth of national territory, one-third of the country’s population and one-third of the economic volume, the region has displayed tremendous economic vitality and potential for development. 
The central government has eyed the region as a pioneer in reform and opening-up, an important engine for economic development, a key area for the mainland to capture cooperation opportunities with Hong Kong and Macao, as well as a crucial area for the advancement of the Belt and Road Initiative. 
According to the plan, regional economic structure is expected to be optimized with Guangzhou and Shenzhen’s expertise on innovative administration and green development to be spread across the region. 
New concentrations of advanced industries will be cultivated, and industries such as processing trade will be transferred to central and western regions. 
The government will also seek to promote uniform market regulations in the region, build a regional social credit cooperation system and remove customs clearance barriers. Major infrastructure projects such as railway networks, energy supply system and water conservancy works will be accelerated. 
Moreover, the State Council called for establishing innovation platforms to help push regional cooperation, as well as optimize the environment for innovation. In social aspects, the region will further integrate on education, medical care, social security and tourism.
The State Council encouraged regional governments and enterprises to explore external cooperation opportunities on industrial capacity and equipment manufacturing while taking advantage of international development initiatives such as the Bangladesh-China-India-Myanmar economic corridor. The government will take measures to protect regional water resources and control air pollution. 
In particular, the central government called for close connection and collaboration between the nine provincial regions and Hong Kong and Macao on major infrastructure projects, industrial cooperation and social affairs. 












SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guidelines for boosting pharmaceutical industry,https://english.www.gov.cn/policies/latestreleases/201603/11/content_WS5d15d204c6d03ce67878fdfc.html,N/A,True,"environment, environmental","
Guidelines for boosting pharmaceutical industry
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			Guideline for boosting medical industry






Updated:
Mar 11,2016 10:08 PM
	    english.gov.cn












The State Council issued a guideline on March 11 to give the medical industry a healthy boost.
It said that by 2020, innovation capacity of the medical industry should be greatly increased, supply of urgently-needed clinical drugs will be increased, and the scale of the industry will expand, with annual growth rate of the main business revenue higher than 10 percent.
The guideline states that in order to achieve these goals, innovation and entrepreneurship should be encouraged, more innovation-driven middle and small-sized enterprises with technologies and high-end talents should be set up, and the research ability of new medical products should be increased.
It also required efforts to upgrade the medical equipment, mainly developing the key devices such as digital detectors, superconducting magnets and X-ray tubes with high heat capacity, and technologies such as 3-D printing and data collecting and analysis.
The new rule Good Manufacturing Practices on Medicines will be strictly implemented to perfect the product tracking systems. It also encourages using modern bio-technology to improve the traditional drug production methods, build environmentally-friendly industrial parks and recycle the byproduct materials to reduce pollution.
To better integrate this industry, the government will promote pharmaceutical enterprises to implement cross-sector mergers and acquisitions while optimizing the industrial structures.
Development of the pharmaceutical industry also needs the coordination of different regions, according to the guideline. It suggested building international-level research centers in eastern areas with abundant capital and high technologies, and production and export bases of the traditional Chinese medicine (TCM) in the western and the northeastern areas that have large amounts of TCM resources.
The guideline also states to better develop this industry, the country should also perfect the medical service systems, relieve patients’ burden by controlling irrationally high expenses and reduce repetitive and unnecessary medical examinations in different hospitals while encouraging doctors to work in several medical institutions.
In addition, the pharmaceutical industry should also take the advantage of the Belt and Road Initiative to go global, promoting big medical enterprises to invest overseas, build research centers, production bases, and sales and services networks. Efforts should also be made to develop internationally influential brands.
The government should also step up efforts to improve legislation on supervision of drugs and medical equipment, punish illegal enterprises, protect intellectual property rights, and crack down on fake and shoddy products.








RELATED STORIES



Pharmaceutical industry requires upgrade and innovation 


Evaluation of generic drugs urged









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
State Council approves master plan for Xiamen city,https://english.www.gov.cn/policies/latestreleases/201602/22/content_WS5d1c1d42c6d03ce678798716.html,N/A,True,environment,"
State Council approves master plan for Xiamen city
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council approves overall plan for Xiamen city






Updated:
Feb 22,2016 4:51 PM
	    english.gov.cn












The State Council on Feb 22 approved the overall plan for Xiamen, a southern city in Fujian province.
The plan was submitted by the Fujian provincial government, for the development of Xiamen city from 2011 to 2020.
Covering 1,699.39 square kilometers, Xiamen is one of China’s special economic zones as well as a major southern port and tourism city.
The plan is aimed at achieving innovative, coordinated, green, open and inclusive development in Xiamen.
Efforts should be made to boost the integration of Xiamen, Zhangzhou, and Quanzhou cities, with the overall goal of industrial distribution, and promote coordinated construction and share regional major infrastructures, the State Council said.
In terms of city scale, the plan will work to control the city’s permanent resident population within 5 million and land use for urban construction within 440 square kilometers.
According to the law regarding urban and rural development planning, unplanned development zones and new districts are banned from setting up in the city, the State Council said.
In addition, the plan aims to build Xiamen into a sponge city that is resource-conserving and environment-friendly.
Strengthened efforts should be made to protect special ecological functional regions of Xiamen, including the Gulangyu island-Wan Shishan Scenic area, natural reserve areas, wet land, and water resource, the State Council said.









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
New district approved to be set up in Changchun,https://english.www.gov.cn/policies/latestreleases/201602/15/content_WS5d1c1d28c6d03ce6787986c9.html,N/A,True,environment,"
New district approved to be set up in Changchun
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			New district approved to be set up in Changchun






Updated:
Feb 15,2016 11:53 AM
	    english.gov.cn












On Feb 15, the State Council approved Jilin provincial government’s application to establish a new district in Changchun city, capital of Jilin province.
Development of Changchun new district is significant in accelerating the construction of the Belt and Road Initiative, revitalizing the old industrial base in Northeast China, and deepening regional cooperation in the Tumen River area, it said.
The planning area of the new district in Changchun city covers 499 square kilometers, including partial sections of the city’s Chaoyang district, Kuancheng district, Erdao district, and Jiutai district.
Based on the theory of achieving innovative, coordinated, green, open and inclusive development, the move aims to build Changchun new district into a demonstration area of innovative economic development, a major engine to revitalize Northeast China, an important platform of regional cooperation in the Tumen River area, and a pioneer of system and mechanism reforms, according to the State Council.
The State Council requires Jilin provincial government to explore a new pattern of district management that coordinates with the current system and carefully draw up the master plan of new district development that is in line with regulations regarding land utilization, urban master planning, environment protection, and water resource planning.
Departments under the State Council are also required to direct and support the construction and development of Changchun new district in planning, policy implementation, project arrangement, and system and mechanism innovation.









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China outlines roadmap to build better cities,https://english.www.gov.cn/policies/latestreleases/201602/21/content_WS5d1c1d45c6d03ce67879871e.html,N/A,True,"environment, emission, environmental","
China outlines roadmap to build better cities
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			China outlines roadmap to build better cities






Updated:
Feb 21,2016 10:11 AM
	    Xinhua












Chinese central authorities on Feb 21 issued guidelines on urban development, two months after leaders met for the Central Urban Work Conference and promised to make China’s sprawling cities more livable, efficient and green.
The document, from the Communist Party of China Central Committee and the State Council, set the basic principles, key tasks and targets for future urban development and management, aiming to ensure that cities are “orderly constructed, properly developed, and efficiently operated”.
The last time China held a meeting like the Central Urban Work Conference was in 1978, when only 18 percent of the population lived in cities. That had increased to 56.1 percent by the end of 2015.
Urbanization in the past few decades has brought about significant social and economic changes in China, spawning problems including traffic jams, pollution and compromised public safety.
Such urban ills have provoked public ire, putting pressure on city planners to find solutions.
Chen Zhenggao, minister of housing and urban-rural development, said the document was drafted based on careful research by its ministry and 29 other related departments.
The guidelines said China will limit cities from growing beyond the means of their natural resources and environment.
Currently, Beijing, Shanghai and Chongqing municipalities all have populations exceeding 20 million. Cities like Tianjin, Guangzhou and Shenzhen each have more than 10 million.
Priority will be given to the protection of farmland, while land for construction use will be “properly allocated”. The country plans to take around five years to inspect and clear up illegal construction.
It also called for city planners to differentiate cities with urban landscape based on local characteristics.
Aside from the exterior of buildings, factors including resource and energy conservation as well as environmental protection should also be taken into account in the process of designing and constructing, the guidelines said.
As part of efforts to provide low-income urban residents with affordable housing, China aims to complete renovation of rundown urban areas and dilapidated housing by 2020.
China will also improve urban planning and construction of infrastructure, both underground and overground. Construction standards and project quality will be raised, the guidelines said.
To ease traffic jams in the cities, China looks to expand public transport network such as buses and railways. By 2020, China aims to raise the penetration of public transport to 40 percent in megacities, 30 percent in big cities and 20 percent in medium- and small cities.
Efforts will be intensified to cut pollutant emission in the cities with increasing supply of clean fuel to improve energy structure, the document said.
It also called for developing smart cities through various Internet technologies, such as big data and cloud computing, aiming to upgrade urban management and services.












SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",122,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
Guangzhou city plan approved,https://english.www.gov.cn/policies/latestreleases/201602/19/content_WS5d1c1d3bc6d03ce6787986fe.html,N/A,True,"environment, environmental","
Guangzhou city plan approved
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			Guangzhou city plan approved






Updated:
Feb 19,2016 10:04 AM
	    english.gov.cn












The State Council on Feb 19 approved overall planning for Guangzhou in South China’s Guangdong province for the next five years. 
Coordinated urban and rural development was urged in the designated area of 7,437 square kilometers, with extra attention to be paid to the construction of urban villages and city peripheries. 
According to the plan, the Guangzhou government will control the population of permanent urban residents within 18 million and limit urban construction land within 1,772 square kilometers. No new districts or development zones of any kind will be allowed outside the approved area. 
The State Council also urged the Guangzhou government to improve urban infrastructure, protect historic and cultural sites and take measures to build an energy-saving and environmentally-friendly city. 









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
State Council to safeguard “left-behind” children,https://english.www.gov.cn/policies/latestreleases/201602/14/content_WS5d1c1d25c6d03ce6787986c0.html,N/A,True,environment,"
State Council to safeguard “left-behind” children
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			State Council to safeguard ‘left-behind’ children






Updated:
Feb 14,2016 4:46 PM
	    english.gov.cn












The State Council urged reinforced efforts to protect and take care of “left-behind” children in rural areas in a document issued on Feb 14. 
The policy targets those below the age of 16 with both parents going leaving for non-farming jobs or with one parent working away and the other incapable of guardianship. 
The State Council called for the establishment of a work system, with families, governments, schools and social groups taking part, which can provide care and protection to “left-behind children”. A rescue mechanism that includes intervention measures such as mandatory reporting, crisis management and assistance evaluation will prevent infringements on the rights of these children. 
It is expected that, by 2020, China will improve laws and regulations regarding child protection, and create a safer environment for children to grow up in. In this way, the number of “left-behind children” will be reduced. 
The government will provide more assistance such as granting families of migrant workers urban citizenship or subsidies in housing or education. Rural migrant workers are also encouraged to return to their hometowns and start their own businesses. 









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harbin-Changchun megalopolis plan approved,https://english.www.gov.cn/policies/latestreleases/201602/29/content_WS5d1c1d60c6d03ce67879876b.html,N/A,True,environment,"
Harbin-Changchun megalopolis plan approved
























ENGLISH.GOV.CN
THE STATE COUNCIL
THE PEOPLE'S REPUBLIC OF CHINA

 

 
|

|









 
 












 >>   >> LATEST RELEASES


			Harbin-Changchun megalopolis plan approved






Updated:
Feb 29,2016 9:39 AM
	    english.gov.cn












The State Council has approved a development plan for the Harbin-Changchun megalopolis that includes major cities in Northeast China’s Heilongjiang and Jilin provinces. 
The State Council urged local governments to take advantage of the Belt and Road Initiative and revitalization of old industrial bases in a bid to transform development models and improve urban governance. 
In particular, the central government called for scientific planning of urban space, infrastructural interconnectivity, coordinated industrial development and shared public services. 
According to the plan, the Harbin-Changchun megalopolis is expected to grow into a green region of influence and competitiveness with improved urban environment and quality of life. 
Governments of Heilongjiang and Jilin provinces should coordinate and cooperate in the implementation of the plan, the State Council said. 





RELATED STORIES



32nd Harbin int’l ice and snow festival opens in NE China


State Council OKs city plan for Daqing









SERVICES












					CONTACT THE PREMIER





E-mail RESPONSES







Copyright© www.gov.cn 
			|
			
About us

			|
			
Contact us


Registration Number: 05070218
All rights reserved. The content (including but not limited to
			text, photo, multimedia information, etc) published in this site
			belongs to www.gov.cn.
Without written authorization from www.gov.cn, such content shall
			not be republished or used in any form.













",122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
